controller_name,scenario_name,total_cost_usd,peak_import_kw,total_emissions_kg,battery_throughput_kwh,fallback_count,violation_count,reserve_breach_count
rule_based,baseline,183178.47288393253,3886.9507392732417,1068600.238542093,80977.79677393213,23420.0,0.0,0.0
deterministic_mpc,baseline,182795.0351127684,3921.5126492732415,1067913.904502753,26384.879941626645,0.0,0.0,0.0
trust_aware_mpc,baseline,182363.7451157816,3924.75644412772,1064729.217943584,40489.280612265975,0.0,0.0,0.0
rule_based,comm_loss_light,183178.47288393253,3886.9507392732417,1068600.238542093,80977.79677393213,23420.0,0.0,0.0
deterministic_mpc,comm_loss_light,182795.0351127684,3921.5126492732415,1067913.904502753,26384.879941626645,0.0,0.0,0.0
trust_aware_mpc,comm_loss_light,182221.32420653765,3924.75644412772,1063559.6948351013,42069.10120307198,1103.0,0.0,0.0
rule_based,comm_loss_heavy,183178.47288393253,3886.9507392732417,1068600.238542093,80977.79677393213,23420.0,0.0,0.0
deterministic_mpc,comm_loss_heavy,182795.0351127684,3921.5126492732415,1067913.904502753,26384.879941626645,0.0,0.0,0.0
trust_aware_mpc,comm_loss_heavy,182015.22480319472,3946.648475264297,1061892.5014119034,46414.62165960342,3349.0,0.0,0.0
rule_based,missing_meter_data,183257.97808644053,7068.32499829388,1068962.1066025083,81339.90387665463,23420.0,51.0,0.0
deterministic_mpc,missing_meter_data,182895.75130921847,7107.50251829388,1068546.5046555733,26384.879941626645,0.0,49.0,0.0
trust_aware_mpc,missing_meter_data,181250.01059034065,6992.18939829388,1056663.967109926,63044.2976385493,699.0,49.0,0.0
rule_based,sensor_spike_anomalies,183149.2461278061,6982.678599799,1068722.709522848,81668.48508342881,23420.0,99.0,0.0
deterministic_mpc,sensor_spike_anomalies,182800.07813146472,6990.75338897109,1068409.8597648856,26384.879941626645,0.0,99.0,0.0
trust_aware_mpc,sensor_spike_anomalies,180732.659554751,6948.690999799001,1053518.2070673625,70231.02390500523,0.0,98.0,0.0
rule_based,forecast_shock_pv_drop,186584.3448231897,3886.9507392732417,1069054.952360626,84125.09229646917,23420.0,0.0,0.0
deterministic_mpc,forecast_shock_pv_drop,186281.79068587185,3956.079009273242,1068477.0790749518,37679.23941743452,0.0,0.0,0.0
trust_aware_mpc,forecast_shock_pv_drop,185912.87695070103,3940.0769641277207,1065556.5209078528,50543.06219092396,0.0,0.0,0.0
rule_based,ev_surge_event,185858.7970369236,3886.9507392732417,1068648.2085716138,84859.47850322495,23420.0,0.0,0.0
deterministic_mpc,ev_surge_event,185541.3888510689,3943.961649273241,1068019.1669167047,34289.8100404395,0.0,0.0,0.0
trust_aware_mpc,ev_surge_event,185172.44228838437,3939.1542041277207,1065150.3964319753,49255.38100691871,0.0,0.0,0.0
rule_based,compound_stress,188193.25346289272,7041.814670512032,1067321.6848291983,86051.95800565407,23420.0,114.0,0.0
deterministic_mpc,compound_stress,187971.98499237245,7041.681870512031,1067232.6782446322,44934.31313589331,0.0,115.0,0.0
trust_aware_mpc,compound_stress,185943.09365991427,7034.234350512032,1052410.266673648,81610.89092107804,2713.0,112.0,0.0
